Computational complexity theory,Analysis of algorithms,Big O notation,Total order,Sorting algorithm,Quicksort,Time complexity,Space complexity,Array data structure,Bubble sort,Insertion sort,Merge sort,Heapsort,Selection sort,Shellsort,Radix sort,Gnome sort,y
697,346,2861,385,1762,2170,1279,106,1179,1557,1802,1855,905,1024,321,697,97,403
609,405,2792,481,1731,2322,1412,100,1091,1653,1966,1645,802,1094,349,732,108,422
558,273,2404,351,1342,1776,1099,81,869,1233,1367,1344,624,757,316,478,66,321
462,291,1624,234,956,1251,851,68,722,859,941,991,469,518,204,356,50,210
547,295,1788,264,1120,1404,888,74,810,1021,1094,1159,575,617,214,443,52,272
731,385,2645,364,1555,2078,1332,107,1129,1432,1554,1630,778,924,336,577,90,392
725,369,2774,291,1548,1960,1236,106,1148,1477,1588,1616,761,853,274,622,101,404
562,403,2483,350,1533,1844,1149,103,1148,1279,1429,1475,807,844,232,560,128,393
507,318,2166,363,1256,1525,1137,77,969,1222,1289,1288,634,737,239,493,112,317
538,323,2046,301,1182,1510,921,60,830,1052,1139,1116,525,625,203,443,79,263
458,270,1708,245,955,1176,830,67,674,1511,1051,976,438,463,740,364,63,196
445,294,1948,334,1093,1378,905,60,789,1158,1073,1146,533,587,327,375,99,206
705,409,2796,384,1574,1956,1262,93,965,1568,1522,1636,719,933,299,569,126,334
618,364,2965,330,1699,2069,1412,100,1028,1574,1695,1709,729,954,499,684,174,365
655,429,2893,325,1678,2056,1326,103,1048,1481,1651,1721,793,1030,374,804,111,339
616,445,2668,352,1631,2128,1293,87,1073,1454,1646,1590,868,921,315,580,96,380
621,366,2503,324,1366,1910,1222,75,887,1320,1492,1412,719,899,264,466,85,313
550,571,1849,294,1038,1817,965,65,732,899,1100,1064,520,645,190,442,49,263
579,906,2140,312,1297,1868,1049,83,740,1109,1339,1232,704,771,256,529,92,341
660,449,3207,464,1756,2447,1692,118,1053,1642,1772,1735,891,1129,342,655,101,418
651,407,3266,389,1767,2479,1723,128,1063,1658,2050,1942,990,1170,384,772,103,368
598,372,2938,380,1897,2510,1651,91,1144,1649,1945,1876,938,1080,4590,704,113,421
612,417,2771,369,1669,2227,1384,114,1063,1415,1824,1661,898,928,466,650,96,400
513,329,2338,355,1279,1792,1248,87,949,1180,1401,1304,708,840,287,461,96,247
458,234,1688,250,959,1237,908,65,640,795,1021,868,444,548,192,443,81,191
432,327,1964,290,1039,1425,963,84,664,812,1039,994,583,641,221,511,90,220
581,371,2574,327,1485,1970,1299,118,925,1187,1421,1364,771,788,286,605,131,282
578,369,3003,315,1485,1931,1350,74,1079,1244,1387,1258,741,732,270,613,111,255
